64515040108645;4/1/2015 8:30:00 AM;Home;SGA #1 OPENING DAY SCHAMBLE;$6;8:30 a;3/27/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
64515040808645;4/8/2015 8:30:00 AM;Home;SGA #2 MODIFIED STABLEFORD;$6;8:30 a;4/3/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
64515041508645;4/15/2015 8:30:00 AM;Home;SGA #3 BEST BALL GROSS & NET;$6;8:30 a;4/10/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
64515042208645;4/22/2015 8:30:00 AM;Home;SGA #4 INDIVIDUAL BY FLIGHT;$6;8:30 a;4/17/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
64515042908645;4/29/2015 8:30:00 AM;Home;SGA #5 1,2,3 BALLS;$6;8:30 a;4/24/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
64515050508645;5/5/2015 8:00:00 AM;Home;SGA #6 STEP ASIDE;$6;8:00 a;5/1/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
64515050609216;5/6/2015 9:00:00 AM;Away;HOLLY HILLS CC;$50;9:00 a;5/1/2015 12:00:00 PM;;30;;;1/1/2015 9:00:00 AM
64515051209226;5/12/2015 9:00:00 AM;Away;QUAIL VALLEY GC;$38;9:00 a;5/8/2015 12:00:00 PM;;30;;;1/1/2015 9:00:00 AM
64515051308645;5/13/2015 8:00:00 AM;Home;SGA #7 A/D B/C;$6;8:00 a;5/8/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
64515051908645;5/19/2015 8:00:00 AM;Home;SGA #8 3 BEST BALLS;$6;8:00 a;5/15/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
64515052008230;5/20/2015 8:30:00 AM;Away;THE LINKS AT CHALLEDON GC;$38;8:30 a;5/15/2015 12:00:00 PM;;30;;;1/1/2015 9:00:00 AM
64515052608645;5/26/2015 8:00:00 AM;Home;SGA #9 BLIND BOGEY vs BEST BLIND BOGEY;$6;8:00 a;5/22/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
64515052709641;5/27/2015 9:00:00 AM;Away;BOWIE CC;$45;9:00 a;5/22/2015 12:00:00 PM;;30;;;1/1/2015 9:00:00 AM
64515060208224;6/2/2015 8:30:00 AM;Away;GLADE VALLEY GC;$40;8:30 a;5/29/2015 12:00:00 PM;;30;;;1/1/2015 9:00:00 AM
64515060308645;6/3/2015 8:00:00 AM;Home;SGA #10 3,2,1 BALLS;$6;8:00 a;5/29/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
64515061008645;6/10/2015 8:00:00 AM;Home;SGA #11 BLIND BOGEY;$6;8:00 a;6/5/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
64515061109645;6/11/2015 9:00:00 AM;Home;BOWIE, PATUXENT, MONTGOMERY CC, CHALLEDON, HOLLY HILLS, UNIV. OF MD, TIMBERS AT TROY, QUAIL VALLEY;$43;9:00 a;6/5/2015 12:00:00 PM;;50;;;1/1/2015 9:00:00 AM
