22913040308229;4/3/2013 8:30:00 AM;Home;Opening Day & Meeting;$43;8:30 a;3/29/2013 12:00:00 PM;301-607-9000;60;;;3/3/2013 9:00:00 AM
22913040809309;4/8/2013 9:00:00 AM;MISGA;Annual Reps Meeting at Prospect Bay;;9:00 a;4/4/2013 12:00:00 PM;;6;;;3/8/2013 9:00:00 AM
22913041008645;4/10/2013 8:30:00 AM;Away;Cross Creek GC;$42;8:30 a;4/6/2013 12:00:00 PM;301-595-8901;45;;;3/10/2013 9:00:00 AM
22913041608217;4/16/2013 8:30:00 AM;Away;Hunt Valley CC;$45;8:30 a;4/13/2013 12:00:00 PM;410-527-3304;45;;;3/16/2013 9:00:00 AM
22913041708229;4/17/2013 8:30:00 AM;Home;Bretton Woods CC, Hog Neck GC, NGC Tantallon, Rolling Road CC;$43;8:30 a;4/13/2013 12:00:00 PM;301-607-9000;60;;;3/17/2013 9:00:00 AM
22913042308224;4/23/2013 8:30:00 AM;Away;Glade Valley GC;$37;8:30 a;4/20/2013 12:00:00 PM;301-898-5555;45;;;3/23/2013 9:00:00 AM
22913042408439;4/24/2013 8:30:00 AM;Away;Montgomery Village GC;$40;8:30 a;4/20/2013 12:00:00 PM;301-948-6204;45;;;3/24/2013 9:00:00 AM
22913042508219;4/25/2013 8:30:00 AM;Away;Rolling Road CC;$42;8:30 a;4/20/2013 12:00:00 PM;410-747-6070;45;;;3/25/2013 9:00:00 AM
22913050108229;5/1/2013 8:30:00 AM;Home;Bay Hills, Compass Pointe GC, Hobbits Glen GC, Leisure World;$43;8:30 a;4/27/2013 12:00:00 PM;301-607-9000;60;;;3/31/2013 9:00:00 AM
22913050709232;5/7/2013 9:00:00 AM;Away;Musket Ridge GC;$43;9:00 a;5/4/2013 12:00:00 PM;301-293-9930, x110;45;;;4/6/2013 9:00:00 AM
22913050808229;5/8/2013 8:30:00 AM;Home;Argyle CC, Challedon GC, Cress Creek CC, Patuxent Greens, Westminster National GC;$43;8:30 a;5/4/2013 12:00:00 PM;301-607-9000;60;;;4/7/2013 9:00:00 AM
22913051408900;5/14/2013 8:00:00 AM;MISGA;Spring Fling May 14 - 16 at Williamsburg, VA;;8:00 a;4/14/2013 12:00:00 PM;;20;;;3/15/2013 9:00:00 AM
22913051409309;5/14/2013 9:00:00 AM;Away;Prospect Bay CC;$45;9:00 a;5/11/2013 12:00:00 PM;301-663-9768;45;;;4/13/2013 9:00:00 AM
22913051508216;5/15/2013 8:30:00 AM;Away;Holly Hills CC;$40;8:30 a;5/11/2013 12:00:00 PM;301-694-7210;45;;;4/14/2013 9:00:00 AM
22913051608434;5/16/2013 8:30:00 AM;Away;Hobbits Glen GC;$40;8:30 a;5/11/2013 12:00:00 PM;410-730-5980;45;;;4/15/2013 9:00:00 AM
22913052108227;5/21/2013 8:30:00 AM;Away;Westminster National GC;$37;8:30 a;5/18/2013 12:00:00 PM;410-876-4653;45;;;4/20/2013 9:00:00 AM
22913052208627;5/22/2013 8:30:00 AM;Away;Patuxent Greens;$42;8:30 a;5/18/2013 12:00:00 PM;301-776-5533;45;;;4/21/2013 9:00:00 AM
22913052309228;5/23/2013 9:00:00 AM;Away;Winter's Run CC;$42;9:00 a;5/18/2013 12:00:00 PM;301-293-9930, x110;45;;;4/22/2013 9:00:00 AM
22913052908229;5/29/2013 8:30:00 AM;Home;Beaver Creek CC, Montgomery Village GC, Piney Branch CC;$43;8:30 a;5/25/2013 12:00:00 PM;301-607-9000;60;;;4/28/2013 9:00:00 AM
