23215032409232;3/24/2015 9:00:00 AM;Home;Opening Day & Meeting;$45;9:00 a;3/22/2015 12:00:00 PM;301-293-9930, x110;60;R89;;1/31/2015 9:00:00 AM
23215033109232;3/31/2015 9:00:00 AM;Home;Bay Hills, Leisure World, NGC Tantallon;$45;9:00 a;3/27/2015 12:00:00 PM;301-293-9930, x110;60;R89;;2/7/2015 9:00:00 AM
23215041408217;4/14/2015 8:30:00 AM;Away;Hunt Valley CC;$44*;8:30 a;4/11/2015 12:00:00 PM;410-527-3304;30;;;2/21/2015 9:00:00 AM
23215041509442;4/15/2015 9:00:00 AM;Away;Bretton Woods CC;$47*;9:00 a;4/12/2015 12:00:00 PM;301-948-3357, ext 310;50;;;2/21/2015 9:00:00 AM
23215042109232;4/21/2015 9:00:00 AM;Home;Hobbits Glen GC, Hunt Valley CC, Montgomery CC;$45;9:00 a;4/17/2015 12:00:00 PM;301-293-9930, x110;60;R89;;2/28/2015 9:00:00 AM
23215042809232;4/28/2015 9:00:00 AM;Home;Beaver Creek CC, Patuxent Greens;$45;9:00 a;4/24/2015 12:00:00 PM;301-293-9930, x110;60;R89;;3/7/2015 9:00:00 AM
23215050608230;5/6/2015 8:30:00 AM;Away;Challedon GC;$38;8:30 a;5/3/2015 12:00:00 PM;301-829-3000;50;;;3/14/2015 9:00:00 AM
23215050709440;5/7/2015 9:00:00 AM;Away;Norbeck CC;$49*;9:00 a;5/4/2015 12:00:00 PM;301-774-7706;50;R90;;3/14/2015 9:00:00 AM
23215051209232;5/12/2015 9:00:00 AM;Home;Holly Hills CC, Norbeck CC;$45;9:00 a;5/8/2015 12:00:00 PM;301-293-9930, x110;60;R89;;3/21/2015 9:00:00 AM
23215051409233;5/14/2015 9:00:00 AM;Away;Fountain Head CC;$47*;9:00 a;5/11/2015 12:00:00 PM;301-733-5940;30;;;3/21/2015 9:00:00 AM
23215051908224;5/19/2015 8:30:00 AM;Away;Glade Valley GC;$40*;8:30 a;5/16/2015 12:00:00 PM;301-898-5555;50;;;3/28/2015 9:00:00 AM
23215052009627;5/20/2015 9:00:00 AM;Away;Patuxent Greens;$46*;9:00 a;5/17/2015 12:00:00 PM;301-776-5533;50;;;3/28/2015 9:00:00 AM
23215052609438;5/26/2015 9:00:00 AM;Away;Montgomery CC;$46*;9:00 a;5/23/2015 12:00:00 PM;240-912-9529;50;R100;;4/4/2015 9:00:00 AM
23215052709216;5/27/2015 9:00:00 AM;Away;Holly Hills CC;$50*;9:00 a;5/24/2015 12:00:00 PM;301-694-7210;50;S,G;;4/4/2015 9:00:00 AM
23215060208232;6/2/2015 8:30:00 AM;Home;Crofton CC, Univ. of Maryland GC, Waynesboro GC, Westminster National GC;$45;8:30 a;5/29/2015 12:00:00 PM;301-293-9930, x110;60;;;4/11/2015 9:00:00 AM
23215060908232;6/9/2015 8:30:00 AM;Home;Compass Pointe GC, Cress Creek CC;$45;8:30 a;6/5/2015 12:00:00 PM;301-293-9930, x110;60;R89;;4/18/2015 9:00:00 AM
23215061608232;6/16/2015 8:30:00 AM;Home;Fairway Hills GC, Timbers at Troy;$45;8:30 a;6/12/2015 12:00:00 PM;301-293-9930, x110;60;R89;;4/25/2015 9:00:00 AM
23215061708216;6/17/2015 8:30:00 AM;MISGA;Division II Two Man at Holly Hills;TBD;8:30 a;6/6/2014 12:00:00 PM;;60;;Guest;5/1/2014 9:00:00 AM
23215061708230;6/17/2015 8:30:00 AM;Away;Challedon GC;$38;8:30 a;6/14/2015 12:00:00 PM;301-829-3000;50;;;4/25/2015 9:00:00 AM
23215061809434;6/18/2015 9:00:00 AM;Away;Hobbits Glen GC;$43*;9:00 a;6/15/2015 12:00:00 PM;410-730-5980;30;;;4/25/2015 9:00:00 AM
23215062308214;6/23/2015 8:30:00 AM;Away;Beaver Creek CC;$40*;8:30 a;6/20/2015 12:00:00 PM;301-733-5152;35;;;5/2/2015 9:00:00 AM
23215062408630;6/24/2015 8:30:00 AM;Away;Univ. of Maryland GC;$45*;8:30 a;6/21/2015 12:00:00 PM;301-314-4653;25;4A;;5/2/2015 9:00:00 AM
23215062509232;6/25/2015 9:00:00 AM;Home;Glade Valley GC;$45;9:00 a;6/21/2015 12:00:00 PM;301-293-9930, x110;60;R89;;5/2/2015 9:00:00 AM
23215063008226;6/30/2015 8:45:00 AM;Away;Quail Valley CC;$38;8:45 a;6/27/2015 12:00:00 PM;717-359-8453;50;;;5/9/2015 9:00:00 AM
23215070808641;7/8/2015 8:30:00 AM;Away;Bowie G&CC;$45*;8:30 a;7/5/2015 12:00:00 PM;301-262-8141;15;;;5/16/2015 9:00:00 AM
23215071308232;7/13/2015 8:30:00 AM;MISGA;Division II ABCD at Musket Ridge;TBD;8:30 a;7/2/2015 12:00:00 PM;;60;;;5/15/2014 9:00:00 AM
23215071509642;7/15/2015 9:00:00 AM;Away;Fairway Hills GC;$40*;9:00 a;7/12/2015 12:00:00 PM;410-730-1112;30;;;5/23/2015 9:00:00 AM
23215072109435;7/21/2015 9:00:00 AM;Away;Kenwood CC;$49*;9:00 a;7/18/2015 12:00:00 PM;301-320-3605/6;30;;;5/30/2015 9:00:00 AM
23215072209216;7/22/2015 9:00:00 AM;Away;Holly Hills CC;$50*;9:00 a;7/19/2015 12:00:00 PM;301-694-7210;50;S,G;;5/30/2015 9:00:00 AM
23215072308232;7/23/2015 8:30:00 AM;Home;Bretton Woods CC, Challedon GC, Holly Hills CC;$45;8:30 a;7/19/2015 12:00:00 PM;301-293-9930, x110;60;R89;;5/30/2015 9:00:00 AM
23215072808232;7/28/2015 8:30:00 AM;Home;Hunt Valley CC, Montgomery CC, Quail Valley CC;$45;8:30 a;7/24/2015 12:00:00 PM;301-293-9930, x110;60;;;6/6/2015 9:00:00 AM
23215073008901;7/30/2015 8:30:00 AM;Away;Waynesboro GC;tbd ;8:30 a;7/27/2015 12:00:00 PM;;;;;6/6/2015 9:00:00 AM
23215080310233;8/3/2015 10:00:00 AM;MISGA;Division II Pro-Am at Fountain Head CC;;10:00 a;7/20/2015 12:00:00 PM;;12;;;6/4/2015 9:00:00 AM
23215080408647;8/4/2015 8:30:00 AM;Away;Timbers at Troy;tbd ;8:30 a;8/1/2015 12:00:00 PM;;;;;6/13/2015 9:00:00 AM
23215080609231;8/6/2015 9:00:00 AM;Away;Cress Creek CC;$42*;9:00 a;8/3/2015 12:00:00 PM;304-876-3375, ext 1;40;;;6/13/2015 9:00:00 AM
23215081108217;8/11/2015 8:30:00 AM;Away;Hunt Valley CC;$44*;8:30 a;8/8/2015 12:00:00 PM;410-527-3304;30;;;6/20/2015 9:00:00 AM
23215081108625;8/11/2015 8:30:00 AM;Away;Crofton CC;$42*;8:30 a;8/8/2015 12:00:00 PM;;40;;;6/20/2015 9:00:00 AM
23215081112440;8/11/2015 12:00:00 PM;MISGA;State Past Presidents (ABCD) Tournament at Norbeck CC;$105;12:00 p;7/12/2015 12:00:00 PM;;12;;;6/12/2015 9:00:00 AM
23215081208232;8/12/2015 8:30:00 AM;Home;Bowie G&CC, Challedon GC, Fountain Head CC, Kenwood CC;$45;8:30 a;8/8/2015 12:00:00 PM;301-293-9930, x110;60;R89;;6/20/2015 9:00:00 AM
23215081909441;8/19/2015 9:00:00 AM;Away;Leisure World;$40*;9:00 a;8/16/2015 12:00:00 PM;301-598-1570;30;R100;;6/27/2015 9:00:00 AM
23215082012437;8/20/2015 12:00:00 PM;MISGA;State Two Man Tournament at Manor CC;$105;12:00 p;7/21/2015 12:00:00 PM;;12;;;6/21/2015 9:00:00 AM
23215082508227;8/25/2015 8:45:00 AM;Away;Westminster National GC;$38*;8:45 a;8/22/2015 12:00:00 PM;410-876-4653;50;;;7/4/2015 9:00:00 AM
23215090209629;9/2/2015 9:00:00 AM;Away;NGC Tantallon;$45*;9:00 a;8/30/2015 12:00:00 PM;301-292-0003;50;;;7/11/2015 9:00:00 AM
23215090309645;9/3/2015 9:00:00 AM;Away;<span style="color: red">Cross Creek GC **TENTATIVE**</span> ;$43;9:00 a;8/31/2015 12:00:00 PM;301-595-8901;50;;;7/11/2015 9:00:00 AM
23215090809232;9/8/2015 9:00:00 AM;Home;Beaver Creek CC;$45;9:00 a;9/4/2015 12:00:00 PM;301-293-9930, x110;60;R89;;7/18/2015 9:00:00 AM
23215090909646;9/9/2015 9:00:00 AM;Away;Compass Pointe GC;$39;9:00 a;9/6/2015 12:00:00 PM;410-255-7764;25;;;7/18/2015 9:00:00 AM
23215091508214;9/15/2015 8:30:00 AM;Away;Beaver Creek CC;$40*;8:30 a;9/12/2015 12:00:00 PM;301-733-5152;35;;;7/25/2015 9:00:00 AM
23215091709434;9/17/2015 9:00:00 AM;Away;Hobbits Glen GC;$43*;9:00 a;9/14/2015 12:00:00 PM;410-730-5980;30;;;7/25/2015 9:00:00 AM
23215092209232;9/22/2015 9:00:00 AM;Home;Rattlewood GC;$45;9:00 a;9/18/2015 12:00:00 PM;301-293-9930, x110;60;R89;;8/1/2015 9:00:00 AM
23215092309220;9/23/2015 9:00:00 AM;Away;<span style="color: red">Sparrows Point CC **TENTATIVE**</span> ;$48*;9:00 a;9/20/2015 12:00:00 PM;410-477-3636;30;;;8/1/2015 9:00:00 AM
23215092909232;9/29/2015 9:00:00 AM;Home;Hobbits Glen GC;$45;9:00 a;9/25/2015 12:00:00 PM;301-293-9930, x110;60;R89;;8/8/2015 9:00:00 AM
23215093008229;9/30/2015 8:30:00 AM;Away;Rattlewood GC;$36;8:30 a;9/27/2015 12:00:00 PM;301-607-9000;30;White Tees;;8/8/2015 9:00:00 AM
23215100609438;10/6/2015 9:00:00 AM;Away;Montgomery CC;$46*;9:00 a;10/3/2015 12:00:00 PM;240-912-9529;50;R100;;8/15/2015 9:00:00 AM
23215101309232;10/13/2015 9:00:00 AM;Home;MR MISGA Championship (Closing Day) & Meeting;$45;9:00 a;10/9/2015 12:00:00 PM;301-293-9930, x110;60;R89;;8/22/2015 9:00:00 AM
23215102009232;10/20/2015 9:00:00 AM;Home;Ryder Cup;$45;9:00 a;10/16/2015 12:00:00 PM;301-293-9930, x110;60;R89;;8/29/2015 9:00:00 AM
23215102709232;10/27/2015 9:00:00 AM;Home;Ryder Cup;$45;9:00 a;10/23/2015 12:00:00 PM;301-293-9930, x110;60;R89;;9/5/2015 9:00:00 AM
