22914040208229;4/2/2014 8:30:00 AM;Home;Opening Day & Meeting;$36;8:30 a;3/28/2014 12:00:00 PM;301-607-9000;60;;;2/16/2014 9:00:00 AM
22914040908441;4/9/2014 8:30:00 AM;Away;Leisure World;$39;8:30 a;4/4/2014 12:00:00 PM;301-598-1570;45;;;2/16/2014 9:00:00 AM
22914041608229;4/16/2014 8:30:00 AM;Home;Fairway Hills GC, Leisure World;$36;8:30 a;4/11/2014 12:00:00 PM;301-607-9000;60;;;2/16/2014 9:00:00 AM
22914042209224;4/22/2014 9:00:00 AM;Away;Glade Valley GC;$37;9:00 a;4/18/2014 12:00:00 PM;301-898-5555;45;;;2/16/2014 9:00:00 AM
22914043008229;4/30/2014 8:30:00 AM;Home;Compass Pointe GC, Cross Creek GC, Hobbits Glen GC;$36;8:30 a;4/26/2014 12:00:00 PM;301-607-9000;60;;;3/30/2014 9:00:00 AM
22914050609232;5/6/2014 9:00:00 AM;Away;Musket Ridge GC;$45;9:00 a;5/2/2014 12:00:00 PM;301-293-9930, x110;45;;;3/30/2014 9:00:00 AM
22914050708229;5/7/2014 8:30:00 AM;Home;Challedon GC, Westminster National GC;$36;8:30 a;5/2/2014 12:00:00 PM;301-607-9000;60;;;3/30/2014 9:00:00 AM
22914051309217;5/13/2014 9:00:00 AM;Away;Hunt Valley CC;$44;9:00 a;5/9/2014 12:00:00 PM;410-527-3304;45;;;4/6/2014 9:00:00 AM
22914051408216;5/14/2014 8:30:00 AM;Away;Holly Hills CC;$50;8:30 a;5/9/2014 12:00:00 PM;301-694-7210;45;;;4/6/2014 9:00:00 AM
22914051509434;5/15/2014 9:00:00 AM;Away;Hobbits Glen GC;$43;9:00 a;5/9/2014 12:00:00 PM;410-730-5980;30;;;4/6/2014 9:00:00 AM
22914052008227;5/20/2014 8:45:00 AM;Away;Westminster National GC;$38;8:45 a;5/16/2014 12:00:00 PM;410-876-4653;45;;;4/13/2014 9:00:00 AM
